Tiempo (s),Corriente Servo 1 (mA),Corriente Servo 2 (mA)
0.02173018455505371,2.7,34.3
0.06232929229736328,4.5,73.1
0.12347292900085449,2.7,154.9
0.16432905197143555,3.7,45.0
0.2264111042022705,2.6,65.7
0.28494811058044434,20.7,17.9
0.3228952884674072,32.1,2.4
0.3834559917449951,37.0,3.8
0.42505812644958496,28.1,40.5
0.48833417892456055,66.9,8.9
0.5282142162322998,100.6,47.6
0.5892739295959473,87.4,2.8
0.6487669944763184,8.5,19.4
0.6881129741668701,289.5,228.3
0.7496771812438965,8.2,47.9
0.7870821952819824,7.8,118.7
0.8446531295776367,1.5,351.4
0.905036211013794,8.5,290.1
0.9452311992645264,1.5,324.1
1.0047099590301514,2.7,155.8
1.0455050468444824,4.7,137.5
1.1050560474395752,3.0,35.1
1.1650750637054443,33.0,246.1
1.2047770023345947,2.9,123.3
1.2654290199279785,3.0,290.7
1.3254930973052979,1.8,345.4
1.3648688793182373,10.7,304.8
1.4246389865875244,7.7,276.8
1.464911937713623,21.0,189.6
1.52413010597229,12.0,269.6
1.5846102237701416,7.4,268.7
1.6176340579986572,3.2,229.1
1.6696391105651855,22.1,342.0
1.7309739589691162,11.0,350.5
1.7907021045684814,4.2,351.7
1.8273751735687256,73.4,351.4
1.8848252296447754,67.7,250.1
1.94541597366333,60.2,365.2
1.9834411144256592,19.1,367.5
2.042494058609009,70.2,364.9
2.1033570766448975,153.1,345.0
2.1427111625671387,41.4,356.6
2.2025811672210693,77.5,358.8
2.2427170276641846,2.4,345.1
2.3029730319976807,61.0,357.4
2.362907886505127,90.2,358.7
2.4030280113220215,40.2,368.4
2.462662935256958,117.8,366.4
2.501559257507324,7.8,365.7
2.563378095626831,72.6,364.8
2.623134136199951,229.8,345.4
2.6626241207122803,6.4,362.3
2.722827196121216,302.8,336.0
2.763045072555542,27.0,363.9
2.822779893875122,84.1,358.7
2.8827662467956543,8.6,362.5
2.922880172729492,266.8,362.7
2.983422040939331,24.7,362.4
3.023047924041748,135.8,358.5
3.0832180976867676,17.5,363.1
3.1432480812072754,44.4,362.9
3.183413028717041,8.4,340.1
3.2427730560302734,75.8,362.1
3.2825300693511963,339.5,347.2
3.3424808979034424,96.2,347.8
3.4015419483184814,284.5,333.2
3.4431281089782715,100.5,326.2
3.5032882690429688,224.8,329.5
3.5426251888275146,159.0,331.1
3.602710008621216,241.6,308.0
3.6631360054016113,146.4,325.2
3.702725887298584,5.6,327.7
3.7624452114105225,51.3,366.0
3.802130937576294,2.4,352.7
3.8632352352142334,12.6,361.4
3.9227139949798584,62.5,362.6
3.957475185394287,93.2,364.1
4.012282133102417,50.3,362.7
4.0725791454315186,62.5,317.4
4.1322572231292725,39.7,367.1
4.1723761558532715,17.9,337.3
4.232295036315918,14.6,365.9
4.272264003753662,24.9,362.0
4.332671165466309,13.4,360.8
4.392376184463501,12.4,362.9
4.432246208190918,8.9,363.3
4.492835283279419,38.6,362.6
4.533159971237183,24.0,361.6
4.592617988586426,3.4,329.7
4.653002023696899,7.1,362.4
4.692447185516357,44.4,333.4
4.752975940704346,6.4,361.3
4.79249119758606,8.9,357.3
4.8527491092681885,4.1,310.8
4.912490129470825,15.0,361.0
4.952982187271118,6.7,361.4
5.013036012649536,9.7,361.9
5.053012132644653,16.0,362.5
5.1128761768341064,6.3,361.0
5.1730101108551025,2.4,360.0
5.212892055511475,10.9,359.3
5.272623300552368,7.3,358.8
5.313074111938477,26.2,327.4
5.372627019882202,40.5,358.0
5.431786060333252,7.2,364.2
5.472846269607544,85.5,340.1
5.531742095947266,10.3,72.1
5.5728840827941895,2.3,73.1
5.633130073547363,1.8,33.2
5.69282603263855,5.8,23.5
5.733115911483765,2.0,13.3
5.792840957641602,4.5,6.8
5.831756114959717,2.6,2.2
5.892469167709351,10.6,2.5
5.952254056930542,10.1,2.4
